timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/18 22:13:24.859, P8, 41, 10 %, 4.57 W, 210 MHz, 405 MHz
2026/09/18 22:13:25.080, P0, 41, 11 %, 5.07 W, 210 MHz, 405 MHz
2026/09/18 22:13:25.286, P0, 41, 16 %, 40.78 W, 2250 MHz, 8101 MHz
2026/09/18 22:13:25.490, P0, 43, 83 %, 52.97 W, 2250 MHz, 8101 MHz
2026/09/18 22:13:25.695, P0, 43, 98 %, 68.19 W, 2580 MHz, 8101 MHz
2026/09/18 22:13:25.899, P0, 43, 99 %, 69.36 W, 2580 MHz, 8101 MHz
2026/09/18 22:13:26.117, P0, 59, 98 %, 74.86 W, 2580 MHz, 8101 MHz
2026/09/18 22:13:26.333, P0, 59, 98 %, 73.60 W, 2565 MHz, 8101 MHz
2026/09/18 22:13:26.537, P0, 59, 98 %, 71.04 W, 2565 MHz, 8101 MHz
2026/09/18 22:13:26.741, P0, 64, 98 %, 74.28 W, 2565 MHz, 8101 MHz
2026/09/18 22:13:26.945, P0, 64, 98 %, 73.20 W, 2565 MHz, 8101 MHz
2026/09/18 22:13:27.171, P0, 64, 98 %, 71.01 W, 2565 MHz, 8101 MHz
2026/09/18 22:13:27.375, P0, 64, 99 %, 69.92 W, 2565 MHz, 8101 MHz
2026/09/18 22:13:27.579, P0, 64, 99 %, 70.13 W, 2565 MHz, 8101 MHz
2026/09/18 22:13:27.783, P0, 64, 98 %, 70.63 W, 2565 MHz, 8101 MHz
2026/09/18 22:13:27.987, P0, 64, 98 %, 71.00 W, 2565 MHz, 8101 MHz
2026/09/18 22:13:28.190, P0, 64, 99 %, 70.66 W, 2565 MHz, 8101 MHz
2026/09/18 22:13:28.397, P0, 64, 99 %, 70.38 W, 2565 MHz, 8101 MHz
2026/09/18 22:13:28.600, P0, 64, 99 %, 70.63 W, 2565 MHz, 8101 MHz
2026/09/18 22:13:28.804, P0, 64, 99 %, 75.28 W, 2565 MHz, 8101 MHz
2026/09/18 22:13:29.008, P0, 64, 98 %, 74.73 W, 2565 MHz, 8101 MHz
2026/09/18 22:13:29.212, P0, 65, 98 %, 68.90 W, 2565 MHz, 8101 MHz
2026/09/18 22:13:29.416, P0, 65, 98 %, 68.30 W, 2565 MHz, 8101 MHz
