timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/18 22:11:49.348, P8, 41, 8 %, 4.73 W, 210 MHz, 405 MHz
2026/09/18 22:11:49.560, P0, 41, 11 %, 4.51 W, 210 MHz, 405 MHz
2026/09/18 22:11:49.769, P0, 41, 17 %, 48.10 W, 2250 MHz, 8101 MHz
2026/09/18 22:11:49.981, P0, 42, 99 %, 68.29 W, 2250 MHz, 8101 MHz
2026/09/18 22:11:50.214, P0, 42, 99 %, 69.84 W, 2580 MHz, 8101 MHz
2026/09/18 22:11:50.418, P0, 42, 98 %, 71.05 W, 2580 MHz, 8101 MHz
2026/09/18 22:11:50.623, P0, 59, 99 %, 74.31 W, 2580 MHz, 8101 MHz
2026/09/18 22:11:50.831, P0, 59, 98 %, 72.41 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:51.036, P0, 59, 99 %, 71.93 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:51.240, P0, 63, 99 %, 74.91 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:51.444, P0, 63, 98 %, 73.68 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:51.648, P0, 63, 99 %, 72.86 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:51.852, P0, 63, 99 %, 72.17 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:52.057, P0, 63, 99 %, 70.51 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:52.260, P0, 63, 99 %, 70.59 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:52.464, P0, 63, 98 %, 71.11 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:52.668, P0, 63, 99 %, 70.53 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:52.872, P0, 63, 99 %, 70.64 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:53.075, P0, 64, 99 %, 72.43 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:53.279, P0, 64, 99 %, 74.53 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:53.483, P0, 64, 98 %, 71.04 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:53.693, P0, 64, 98 %, 68.74 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:53.897, P0, 64, 99 %, 68.47 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:54.100, P0, 64, 99 %, 68.15 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:54.305, P0, 65, 99 %, 69.18 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:54.509, P0, 65, 98 %, 72.13 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:54.713, P0, 65, 99 %, 72.36 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:54.917, P0, 66, 98 %, 71.73 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:55.121, P0, 66, 98 %, 70.42 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:55.325, P0, 66, 99 %, 68.36 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:55.530, P0, 65, 99 %, 68.48 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:55.733, P0, 65, 98 %, 70.29 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:55.938, P0, 65, 98 %, 69.34 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:56.141, P0, 64, 99 %, 68.40 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:56.345, P0, 64, 99 %, 68.15 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:56.550, P0, 64, 98 %, 72.93 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:56.754, P0, 66, 98 %, 71.91 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:56.958, P0, 66, 97 %, 69.29 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:57.166, P0, 66, 99 %, 68.85 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:57.370, P0, 66, 97 %, 68.69 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:57.591, P0, 66, 97 %, 69.65 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:57.802, P0, 66, 97 %, 68.37 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:58.006, P0, 66, 99 %, 68.66 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:58.225, P0, 66, 99 %, 68.58 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:58.429, P0, 66, 98 %, 68.05 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:58.632, P0, 66, 100 %, 69.13 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:58.836, P0, 66, 99 %, 68.64 W, 2565 MHz, 8101 MHz
2026/09/18 22:11:59.040, P0, 66, 99 %, 67.68 W, 2565 MHz, 8101 MHz
