timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/18 22:29:17.130, P0, 42, 3 %, 17.48 W, 2250 MHz, 8101 MHz
2026/09/18 22:29:17.339, P0, 42, 2 %, 17.50 W, 2250 MHz, 8101 MHz
2026/09/18 22:29:17.543, P0, 42, 43 %, 23.73 W, 2250 MHz, 8101 MHz
2026/09/18 22:29:17.747, P0, 43, 99 %, 68.94 W, 2250 MHz, 8101 MHz
2026/09/18 22:29:17.951, P0, 43, 99 %, 69.51 W, 2580 MHz, 8101 MHz
2026/09/18 22:29:18.155, P0, 43, 99 %, 69.41 W, 2580 MHz, 8101 MHz
2026/09/18 22:29:18.359, P0, 63, 99 %, 76.55 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:18.563, P0, 63, 98 %, 70.81 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:18.769, P0, 63, 100 %, 70.00 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:18.973, P0, 62, 99 %, 77.39 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:19.178, P0, 62, 99 %, 72.99 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:19.383, P0, 62, 99 %, 70.60 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:19.587, P0, 63, 99 %, 71.57 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:19.792, P0, 63, 99 %, 76.80 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:19.995, P0, 63, 99 %, 70.66 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:20.199, P0, 64, 99 %, 70.36 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:20.403, P0, 64, 99 %, 70.58 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:20.606, P0, 64, 99 %, 70.06 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:20.811, P0, 64, 99 %, 68.58 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:21.015, P0, 64, 99 %, 68.38 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:21.219, P0, 64, 99 %, 68.34 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:21.423, P0, 65, 98 %, 74.41 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:21.627, P0, 65, 99 %, 68.83 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:21.833, P0, 65, 98 %, 68.46 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:22.066, P0, 64, 99 %, 74.52 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:22.270, P0, 64, 99 %, 69.32 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:22.474, P0, 64, 98 %, 68.43 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:22.682, P0, 64, 99 %, 74.52 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:22.887, P0, 64, 99 %, 72.59 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:23.091, P0, 64, 99 %, 70.95 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:23.294, P0, 65, 99 %, 70.40 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:23.498, P0, 65, 98 %, 69.96 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:23.702, P0, 65, 99 %, 68.99 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:23.906, P0, 65, 98 %, 68.54 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:24.110, P0, 65, 99 %, 68.61 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:24.313, P0, 65, 99 %, 78.90 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:24.519, P0, 66, 98 %, 74.35 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:24.723, P0, 66, 99 %, 71.74 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:24.926, P0, 66, 98 %, 71.23 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:25.130, P0, 65, 99 %, 69.92 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:25.334, P0, 65, 99 %, 69.25 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:25.538, P0, 65, 99 %, 75.03 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:25.743, P0, 66, 99 %, 72.95 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:25.948, P0, 66, 99 %, 71.02 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:26.151, P0, 66, 99 %, 70.39 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:26.355, P0, 66, 99 %, 70.04 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:26.559, P0, 66, 74 %, 62.96 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:26.766, P0, 66, 23 %, 56.48 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:26.973, P0, 62, 83 %, 56.63 W, 2580 MHz, 8101 MHz
2026/09/18 22:29:27.177, P0, 62, 98 %, 57.02 W, 2580 MHz, 8101 MHz
2026/09/18 22:29:27.381, P0, 62, 100 %, 57.47 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:27.585, P0, 66, 99 %, 60.40 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:27.790, P0, 66, 99 %, 78.37 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:27.993, P0, 66, 99 %, 74.43 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:28.197, P0, 68, 99 %, 73.33 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:28.402, P0, 68, 99 %, 75.02 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:28.605, P0, 68, 98 %, 74.95 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:28.809, P0, 69, 99 %, 74.40 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:29.013, P0, 69, 99 %, 74.69 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:29.217, P0, 69, 99 %, 73.39 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:29.423, P0, 68, 99 %, 72.20 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:29.627, P0, 68, 98 %, 72.13 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:29.830, P0, 68, 98 %, 74.29 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:30.047, P0, 68, 99 %, 70.04 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:30.252, P0, 68, 99 %, 69.68 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:30.456, P0, 68, 99 %, 70.15 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:30.661, P0, 68, 99 %, 71.81 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:30.865, P0, 68, 98 %, 74.31 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:31.069, P0, 68, 99 %, 71.26 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:31.272, P0, 69, 98 %, 72.29 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:31.476, P0, 69, 99 %, 74.94 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:31.680, P0, 69, 99 %, 70.39 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:31.889, P0, 68, 98 %, 70.65 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:32.093, P0, 68, 99 %, 76.02 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:32.298, P0, 68, 99 %, 71.36 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:32.502, P0, 68, 98 %, 70.50 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:32.706, P0, 68, 99 %, 71.50 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:32.910, P0, 68, 98 %, 69.75 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:33.114, P0, 68, 99 %, 69.89 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:33.318, P0, 68, 99 %, 69.91 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:33.522, P0, 68, 99 %, 69.91 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:33.726, P0, 68, 99 %, 71.25 W, 2565 MHz, 8101 MHz
2026/09/18 22:29:33.930, P0, 68, 99 %, 71.54 W, 2565 MHz, 8101 MHz
