timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/18 22:35:28.777, P0, 40, 15 %, 9.91 W, 210 MHz, 405 MHz
2026/09/18 22:35:28.987, P0, 40, 1 %, 17.62 W, 2250 MHz, 8101 MHz
2026/09/18 22:35:29.192, P0, 40, 54 %, 30.68 W, 2250 MHz, 8101 MHz
2026/09/18 22:35:29.397, P0, 52, 80 %, 41.07 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:29.601, P0, 52, 84 %, 60.62 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:29.805, P0, 52, 86 %, 63.25 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:30.011, P0, 56, 91 %, 60.75 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:30.221, P0, 56, 90 %, 61.72 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:30.426, P0, 56, 90 %, 68.09 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:30.630, P0, 60, 91 %, 70.89 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:30.834, P0, 60, 95 %, 72.58 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:31.038, P0, 60, 95 %, 68.73 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:31.243, P0, 60, 95 %, 73.09 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:31.447, P0, 60, 77 %, 25.29 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:31.654, P0, 60, 2 %, 30.53 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:31.857, P0, 52, 61 %, 55.18 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:32.069, P0, 52, 81 %, 56.64 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:32.273, P0, 52, 84 %, 58.98 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:32.476, P0, 59, 87 %, 59.29 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:32.681, P0, 59, 90 %, 59.63 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:32.885, P0, 59, 90 %, 61.27 W, 2580 MHz, 8101 MHz
2026/09/18 22:35:33.089, P0, 61, 90 %, 62.55 W, 2565 MHz, 8101 MHz
2026/09/18 22:35:33.293, P0, 61, 91 %, 72.91 W, 2565 MHz, 8101 MHz
2026/09/18 22:35:33.497, P0, 61, 95 %, 72.96 W, 2565 MHz, 8101 MHz
2026/09/18 22:35:33.701, P0, 61, 94 %, 73.67 W, 2565 MHz, 8101 MHz
2026/09/18 22:35:33.905, P0, 61, 95 %, 74.21 W, 2565 MHz, 8101 MHz
