timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/19 12:32:41.652, P3, 44, 5 %, 18.61 W, 2250 MHz, 7001 MHz
2026/09/19 12:32:41.861, P3, 44, 5 %, 18.53 W, 2250 MHz, 7001 MHz
2026/09/19 12:32:42.066, P3, 44, 21 %, 40.40 W, 2250 MHz, 7001 MHz
2026/09/19 12:32:42.271, P3, 48, 55 %, 34.57 W, 2250 MHz, 7001 MHz
2026/09/19 12:32:42.475, P0, 48, 57 %, 23.93 W, 2250 MHz, 7001 MHz
2026/09/19 12:32:42.680, P0, 48, 24 %, 34.08 W, 2250 MHz, 8101 MHz
2026/09/19 12:32:42.884, P0, 49, 77 %, 71.79 W, 2250 MHz, 8101 MHz
2026/09/19 12:32:43.094, P0, 49, 42 %, 38.63 W, 2250 MHz, 8101 MHz
2026/09/19 12:32:43.298, P0, 49, 68 %, 51.66 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:43.502, P0, 53, 52 %, 26.01 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:43.725, P0, 53, 43 %, 69.48 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:43.930, P0, 53, 83 %, 41.01 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:44.144, P0, 56, 34 %, 34.79 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:44.349, P0, 56, 79 %, 81.53 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:44.556, P0, 56, 17 %, 32.45 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:44.773, P0, 49, 43 %, 38.67 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:45.031, P0, 49, 88 %, 49.26 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:45.235, P0, 60, 87 %, 54.73 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:45.440, P0, 60, 29 %, 25.67 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:45.645, P0, 60, 44 %, 53.22 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:45.849, P0, 57, 85 %, 60.11 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:46.053, P0, 57, 88 %, 61.38 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:46.257, P0, 57, 31 %, 52.90 W, 2565 MHz, 8101 MHz
2026/09/19 12:32:46.462, P0, 53, 25 %, 57.72 W, 2565 MHz, 8101 MHz
2026/09/19 12:32:46.667, P0, 53, 89 %, 85.16 W, 2565 MHz, 8101 MHz
2026/09/19 12:32:46.873, P0, 53, 87 %, 78.51 W, 2565 MHz, 8101 MHz
2026/09/19 12:32:47.077, P0, 63, 58 %, 54.70 W, 2565 MHz, 8101 MHz
2026/09/19 12:32:47.281, P0, 63, 5 %, 59.72 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:47.485, P0, 63, 77 %, 72.51 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:47.689, P0, 64, 89 %, 77.02 W, 2565 MHz, 8101 MHz
2026/09/19 12:32:47.893, P0, 64, 86 %, 49.73 W, 2565 MHz, 8101 MHz
2026/09/19 12:32:48.097, P0, 64, 5 %, 37.85 W, 2565 MHz, 8101 MHz
2026/09/19 12:32:48.303, P0, 50, 22 %, 44.90 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:48.507, P0, 50, 95 %, 52.16 W, 2580 MHz, 8101 MHz
2026/09/19 12:32:48.711, P0, 50, 96 %, 79.26 W, 2565 MHz, 8101 MHz
