timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/19 12:31:32.130, P3, 44, 5 %, 19.03 W, 2250 MHz, 7001 MHz
2026/09/19 12:31:32.342, P3, 44, 6 %, 18.79 W, 2250 MHz, 7001 MHz
2026/09/19 12:31:32.546, P3, 44, 8 %, 24.58 W, 2250 MHz, 7001 MHz
2026/09/19 12:31:32.751, P3, 46, 34 %, 26.69 W, 2250 MHz, 7001 MHz
2026/09/19 12:31:32.955, P0, 46, 47 %, 34.29 W, 2250 MHz, 7001 MHz
2026/09/19 12:31:33.158, P0, 46, 45 %, 41.56 W, 2250 MHz, 8101 MHz
2026/09/19 12:31:33.363, P0, 49, 70 %, 34.16 W, 2250 MHz, 8101 MHz
2026/09/19 12:31:33.567, P0, 49, 16 %, 23.91 W, 2250 MHz, 8101 MHz
2026/09/19 12:31:33.770, P0, 49, 14 %, 30.87 W, 2580 MHz, 8101 MHz
2026/09/19 12:31:33.974, P0, 46, 47 %, 34.50 W, 2580 MHz, 8101 MHz
2026/09/19 12:31:34.195, P0, 46, 58 %, 38.08 W, 2580 MHz, 8101 MHz
