timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/19 17:47:28.716, P5, 42, 2 %, 17.53 W, 2250 MHz, 8101 MHz
2026/09/19 17:47:28.934, P0, 42, 3 %, 12.11 W, 2250 MHz, 8101 MHz
2026/09/19 17:47:29.137, P0, 42, 11 %, 22.71 W, 2250 MHz, 8101 MHz
2026/09/19 17:47:29.341, P0, 41, 83 %, 36.97 W, 2250 MHz, 8101 MHz
2026/09/19 17:47:29.545, P0, 41, 64 %, 83.34 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:29.753, P0, 41, 80 %, 82.30 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:29.957, P0, 47, 51 %, 52.73 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:30.162, P0, 47, 26 %, 81.43 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:30.365, P0, 47, 99 %, 82.16 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:30.569, P0, 62, 99 %, 80.99 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:30.774, P0, 62, 43 %, 34.94 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:31.003, P0, 62, 51 %, 82.67 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:31.207, P0, 60, 99 %, 82.97 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:31.411, P0, 60, 19 %, 68.18 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:31.637, P0, 60, 37 %, 71.43 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:31.890, P0, 51, 99 %, 86.62 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:32.101, P0, 51, 99 %, 86.17 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:32.304, P0, 51, 71 %, 22.89 W, 2565 MHz, 8101 MHz
2026/09/19 17:47:32.509, P0, 49, 2 %, 87.72 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:32.715, P0, 49, 97 %, 85.76 W, 2580 MHz, 8101 MHz
2026/09/19 17:47:32.919, P0, 49, 99 %, 86.08 W, 2565 MHz, 8101 MHz
