timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/19 12:51:56.150, P5, 40, 3 %, 9.28 W, 2250 MHz, 8101 MHz
2026/09/19 12:51:56.358, P0, 40, 3 %, 9.34 W, 525 MHz, 810 MHz
2026/09/19 12:51:56.562, P0, 40, 9 %, 13.75 W, 525 MHz, 810 MHz
2026/09/19 12:51:56.766, P0, 55, 61 %, 29.39 W, 2580 MHz, 8101 MHz
2026/09/19 12:51:56.971, P0, 55, 81 %, 34.05 W, 2580 MHz, 8101 MHz
2026/09/19 12:51:57.175, P0, 55, 68 %, 46.16 W, 2580 MHz, 8101 MHz
2026/09/19 12:51:57.382, P0, 47, 10 %, 48.00 W, 2580 MHz, 8101 MHz
2026/09/19 12:51:57.603, P0, 47, 99 %, 59.41 W, 2580 MHz, 8101 MHz
2026/09/19 12:51:57.828, P0, 47, 99 %, 61.74 W, 2565 MHz, 8101 MHz
2026/09/19 12:51:58.032, P0, 60, 59 %, 63.49 W, 2565 MHz, 8101 MHz
2026/09/19 12:51:58.248, P0, 60, 33 %, 84.73 W, 2565 MHz, 8101 MHz
2026/09/19 12:51:58.453, P0, 60, 99 %, 83.04 W, 2580 MHz, 8101 MHz
2026/09/19 12:51:58.657, P0, 57, 99 %, 82.99 W, 2580 MHz, 8101 MHz
2026/09/19 12:51:58.861, P0, 57, 35 %, 69.15 W, 2580 MHz, 8101 MHz
2026/09/19 12:51:59.064, P0, 57, 31 %, 61.78 W, 2580 MHz, 8101 MHz
2026/09/19 12:51:59.269, P0, 62, 99 %, 66.21 W, 2565 MHz, 8101 MHz
2026/09/19 12:51:59.473, P0, 62, 99 %, 68.86 W, 2565 MHz, 8101 MHz
2026/09/19 12:51:59.677, P0, 62, 76 %, 60.85 W, 2565 MHz, 8101 MHz
2026/09/19 12:51:59.881, P0, 48, 2 %, 56.89 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:00.085, P0, 48, 95 %, 70.05 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:00.290, P0, 48, 99 %, 70.49 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:00.494, P0, 64, 99 %, 26.32 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:00.700, P0, 64, 12 %, 21.27 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:00.903, P0, 64, 29 %, 42.68 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:01.107, P0, 47, 100 %, 54.59 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:01.312, P0, 47, 100 %, 60.76 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:01.516, P0, 47, 100 %, 64.52 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:01.719, P0, 60, 100 %, 71.20 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:01.923, P0, 60, 100 %, 79.43 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:02.128, P0, 60, 100 %, 79.59 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:02.332, P0, 54, 96 %, 26.22 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:02.537, P0, 54, 1 %, 21.09 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:02.741, P0, 54, 43 %, 81.40 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:02.953, P0, 59, 100 %, 78.55 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:03.157, P0, 59, 100 %, 79.02 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:03.362, P0, 59, 100 %, 79.20 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:03.565, P0, 62, 100 %, 79.16 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:03.769, P0, 62, 100 %, 79.52 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:03.973, P0, 62, 85 %, 75.07 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:04.192, P0, 62, 2 %, 56.97 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:04.398, P0, 62, 7 %, 21.05 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:04.602, P0, 62, 86 %, 58.16 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:04.806, P0, 51, 45 %, 59.24 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:05.037, P0, 51, 79 %, 60.46 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:05.247, P0, 51, 2 %, 21.16 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:05.451, P0, 54, 96 %, 56.78 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:05.655, P0, 54, 99 %, 64.83 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:05.865, P0, 54, 70 %, 25.39 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:06.099, P0, 62, 23 %, 61.94 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:06.303, P0, 62, 99 %, 77.02 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:06.508, P0, 62, 99 %, 75.15 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:06.712, P0, 61, 48 %, 21.28 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:06.916, P0, 61, 20 %, 96.09 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:07.121, P0, 61, 99 %, 94.59 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:07.325, P0, 65, 99 %, 81.09 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:07.529, P0, 65, 14 %, 30.94 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:07.735, P0, 65, 58 %, 93.81 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:07.939, P0, 67, 99 %, 94.50 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:08.145, P0, 67, 74 %, 25.68 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:08.376, P0, 67, 49 %, 44.79 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:08.598, P0, 50, 99 %, 59.39 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:08.802, P0, 50, 100 %, 74.61 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:09.007, P0, 50, 100 %, 74.44 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:09.211, P0, 61, 100 %, 74.41 W, 2565 MHz, 8101 MHz
