timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/19 12:49:39.825, P0, 41, 2 %, 17.42 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:40.034, P0, 41, 8 %, 13.76 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:40.239, P0, 41, 19 %, 23.32 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:40.444, P3, 40, 18 %, 16.78 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:40.648, P3, 40, 17 %, 21.73 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:40.853, P3, 40, 16 %, 22.23 W, 2250 MHz, 7001 MHz
2026/09/19 12:49:41.058, P3, 46, 31 %, 16.81 W, 2250 MHz, 7001 MHz
2026/09/19 12:49:41.264, P0, 46, 12 %, 19.70 W, 2250 MHz, 7001 MHz
2026/09/19 12:49:41.476, P0, 46, 25 %, 17.28 W, 2250 MHz, 7001 MHz
2026/09/19 12:49:41.680, P0, 41, 35 %, 26.68 W, 2250 MHz, 7001 MHz
2026/09/19 12:49:41.918, P0, 41, 2 %, 17.25 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:42.122, P0, 41, 28 %, 31.51 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:42.325, P0, 45, 50 %, 27.42 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:42.529, P0, 45, 2 %, 30.38 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:42.734, P0, 45, 68 %, 32.21 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:42.938, P0, 46, 2 %, 21.76 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:43.142, P0, 46, 18 %, 25.15 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:43.346, P0, 46, 13 %, 20.89 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:43.551, P3, 47, 19 %, 33.15 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:43.755, P3, 47, 10 %, 45.40 W, 2580 MHz, 7001 MHz
2026/09/19 12:49:43.959, P3, 47, 28 %, 28.30 W, 2580 MHz, 7001 MHz
2026/09/19 12:49:44.163, P0, 43, 24 %, 30.89 W, 2580 MHz, 7001 MHz
2026/09/19 12:49:44.367, P0, 43, 2 %, 64.13 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:44.577, P0, 43, 25 %, 20.21 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:44.781, P0, 43, 2 %, 24.81 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:44.985, P0, 43, 78 %, 27.64 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:45.189, P0, 43, 2 %, 25.91 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:45.393, P0, 47, 48 %, 31.47 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:45.598, P0, 47, 22 %, 30.69 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:45.801, P0, 47, 5 %, 32.47 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:46.005, P0, 43, 25 %, 29.52 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:46.209, P0, 43, 6 %, 31.91 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:46.413, P0, 43, 27 %, 28.83 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:46.618, P0, 47, 2 %, 28.65 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:46.824, P0, 47, 30 %, 21.52 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:47.036, P0, 47, 25 %, 30.26 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:47.245, P0, 44, 8 %, 17.37 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:47.457, P0, 44, 29 %, 27.04 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:47.661, P0, 44, 50 %, 31.95 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:47.864, P0, 44, 2 %, 27.98 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:48.069, P0, 44, 68 %, 57.61 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:48.274, P0, 44, 4 %, 33.36 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:48.477, P0, 45, 14 %, 33.02 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:48.681, P0, 45, 13 %, 28.98 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:48.886, P0, 45, 27 %, 30.53 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:49.090, P0, 44, 3 %, 28.00 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:49.294, P0, 44, 26 %, 20.87 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:49.498, P0, 44, 24 %, 30.54 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:49.702, P0, 45, 2 %, 26.62 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:49.907, P0, 45, 24 %, 20.83 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:50.111, P0, 45, 2 %, 54.65 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:50.318, P0, 49, 77 %, 29.50 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:50.522, P0, 49, 2 %, 27.21 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:50.726, P0, 49, 61 %, 31.25 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:50.934, P0, 50, 10 %, 25.17 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:51.137, P0, 50, 11 %, 25.90 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:51.341, P0, 50, 22 %, 24.61 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:51.545, P0, 45, 4 %, 30.21 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:51.749, P0, 45, 27 %, 23.75 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:51.957, P0, 45, 27 %, 33.53 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:52.161, P0, 45, 2 %, 34.41 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:52.365, P0, 45, 24 %, 29.97 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:52.569, P0, 45, 25 %, 31.04 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:52.774, P0, 44, 2 %, 28.27 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:52.978, P0, 44, 45 %, 23.41 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:53.186, P0, 44, 33 %, 20.59 W, 2250 MHz, 8101 MHz
2026/09/19 12:49:53.390, P0, 44, 9 %, 33.81 W, 2535 MHz, 8101 MHz
2026/09/19 12:49:53.593, P0, 44, 62 %, 31.42 W, 2535 MHz, 8101 MHz
2026/09/19 12:49:53.797, P0, 44, 5 %, 29.02 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:54.001, P0, 45, 16 %, 35.10 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:54.206, P0, 45, 15 %, 25.62 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:54.410, P0, 45, 27 %, 28.45 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:54.614, P0, 46, 23 %, 20.90 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:54.819, P0, 46, 31 %, 32.49 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:55.095, P0, 45, 2 %, 28.57 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:55.299, P0, 45, 31 %, 31.41 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:55.504, P0, 45, 2 %, 28.56 W, 2580 MHz, 8101 MHz
2026/09/19 12:49:55.708, P0, 49, 77 %, 31.88 W, 2580 MHz, 8101 MHz
